"easting","northing","cityBlockNum","CU","PE","oanimal","I.NO","P.NO","open","infested","inspector","fitSet"
231434.979081,8183596.12802,728,0,0,0,1,1,1,0,39,0
231435.66205,8183562.328017,728,0,0,0,0,0,0,0,32,0
231436.42552,8183785.949842,725,0,1,0,1,0,1,0,32,0
231436.598458,8183813.782063,725,0,0,0,0,0,0,0,39,0
231438.703122,8183620.291662,723,0,0,0,0,0,0,0,20,0
231439.222652,8183502.87674,711,0,0,0,0,0,0,0,36,0
231439.814072,8183572.059379,728,0,0,0,0,0,0,0,35,0
231442.798021,8183633.157721,723,0,1,1,1,1,1,0,35,0
231443.104246,8183590.107668,728,0,0,0,1,1,1,0,39,0
231443.353672,8183511.062458,711,0,0,0,1,0,1,0,36,0
231444.688801,8183461.018145,711,0,0,0,1,1,1,0,18,0
231445.79169,8183811.76453,725,1,1,1,1,0,1,0,32,0
231446.888848,8183786.122735,725,0,0,1,1,1,1,0,43,0
231448.811195,8183518.418315,711,0,1,0,1,1,1,0,36,0
231449.719563,8183467.459009,711,0,0,0,1,1,1,0,39,0
231450.485217,8183616.981238,723,0,0,0,0,0,0,0,35,0
231450.780302,8183523.874106,711,0,1,1,1,1,1,1,28,0
231451.332832,8183582.961031,728,0,0,0,0,0,0,0,43,0
231452.988975,8183644.45831,723,0,0,0,0,0,0,0,32,0
231453.766928,8183530.953694,711,0,0,0,0,0,0,0,20,0
231453.945128,8183474.845494,711,0,0,0,0,0,0,0,39,0
231454.49425,8183784.120138,725,0,1,0,1,0,1,0,39,0
231456.301568,8183612.722233,723,0,1,0,1,0,1,0,32,0
231456.447272,8183479.942962,711,0,1,0,1,1,1,0,34,0
231457.688759,8183781.03856,725,0,0,0,1,1,1,0,20,0
231458.10389,8183808.841176,725,0,1,1,1,0,1,0,39,0
231458.343578,8183538.188222,711,0,1,0,1,1,1,0,28,0
231458.899978,8183652.80374,723,0,0,0,0,0,0,0,32,0
231458.909475,8183485.170671,711,0,1,1,1,1,1,0,34,0
231460.972478,8183492.70535,711,0,0,0,1,1,1,0,28,0
231463.004842,8183548.49926,711,0,0,0,0,0,0,0,32,0
231464.463979,8183606.829775,723,0,0,0,0,0,0,0,43,0
231464.673576,8183660.616142,723,0,0,0,0,0,0,0,20,0
231465.13006,8183500.247092,711,1,0,1,1,1,1,0,18,0
231466.763522,8183670.654979,723,0,0,0,0,0,0,0,39,0
231467.115465,8183776.212645,725,0,0,0,1,1,1,0,39,0
231467.967439,8183504.032405,711,0,1,1,1,0,1,1,34,0
231469.320608,8183556.992285,711,0,0,0,0,0,0,0,39,0
231469.571446,8183804.089633,725,0,0,0,0,0,0,0,35,0
231469.797995,8183508.561107,711,0,1,1,1,0,1,1,45,0
231469.930209,8183622.030795,723,0,0,0,0,0,0,0,39,0
231470.691515,8183463.50432,710,0,0,0,1,1,1,0,45,0
231471.223637,8183679.752444,723,0,0,1,1,1,1,0,39,0
231472.056227,8183512.538939,711,0,0,0,0,0,0,0,32,0
231474.635281,8183468.947573,710,0,0,0,0,0,0,0,36,0
231475.110374,8183570.98897,711,0,0,0,0,0,0,0,20,0
231475.11384,8183632.841453,723,0,0,0,1,1,1,0,20,0
231475.659165,8183518.609383,711,0,0,0,0,0,0,0,20,0
231475.772821,8183770.219518,725,0,0,0,1,1,1,0,32,0
231476.917242,8183799.139589,725,0,0,0,0,0,0,0,20,0
231477.949615,8183687.761097,723,0,0,0,0,0,0,0,32,0
231479.951028,8183478.332591,710,0,0,0,0,0,0,0,45,0
231480.037267,8183566.56093,711,0,0,0,1,1,1,0,34,0
231480.138467,8183525.756393,711,0,0,0,0,0,0,0,35,0
231480.305264,8183640.874342,723,0,1,0,1,0,1,0,20,0
