"X","Y","unicode","block_num","FR_D","FR_M","FR_A","opened","infested","p.i"
233153.434954,8181837.024133,"1.13.57.241",67,14,3,8,1,0,0.00229424536342356
233152.592297,8181846.863534,"1.13.57.242",67,17,3,8,1,0,0.00231286369365584
233154.366342,8181856.861753,"1.13.57.243",67,17,3,8,1,0,0.00231032483044235
233153.840857,8181866.833844,"1.13.57.244",67,18,3,8,0,0,0.0577602641498109
233178.742393,8181867.124988,"1.13.57.245",67,17,3,8,1,0,0.00235898637536762
233180.208141,8181856.822958,"1.13.57.246",67,17,3,8,1,0,0.00236744925274593
233179.53159,8181826.786511,"1.13.57.247",67,14,3,8,1,0,0.0023746426985175
233183.54442,8181815.083684,"1.13.57.248",67,14,3,8,1,0,0.00245673260908709
233217.378475,8181831.121547,"1.13.57.249",68,18,3,8,1,0,0.00244953916331553
233729.649742,8181982.614915,"1.13.57.25",49,7,1,8,1,0,0.00254559282155933
233211.790374,8181844.637603,"1.13.57.250",68,18,3,8,0,0,0.064962712982414
233211.404854,8181855.631533,"1.13.57.251",68,14,3,8,1,0,0.00235940951923654
233205.967952,8181867.014831,"1.13.57.252",68,18,3,8,0,0,0.0797877534961887
233221.814658,8181867.76889,"1.13.57.253",68,18,3,8,0,0,0.0664032027489346
233242.285665,8181865.344304,"1.13.57.254",68,14,3,8,1,0,0.00243472912790349
233234.006142,8181855.567171,"1.13.57.255",68,14,3,8,1,0,0.00237379641077967
233239.135041,8181844.234307,"1.13.57.256",68,18,3,8,0,0,0.0574601621151191
233240.539811,8181830.539071,"1.13.57.257",68,17,3,8,1,0,0.00244530772462637
233267.672182,8181832.184495,"1.13.57.258",69,14,3,8,0,0,0.116340181321649
233266.305154,8181841.851459,"1.13.57.259",69,14,3,8,0,0,0.103435793829902
233715.419445,8181982.443234,"1.13.57.26",49,18,3,8,0,0,0.0985141204609567
233265.266237,8181852.463022,"1.13.57.260",69,18,3,8,0,0,0.104096018306224
233262.458937,8181866.880714,"1.13.57.261",69,18,3,8,0,0,0.124803058699958
233289.057075,8181857.02658,"1.13.57.262",69,14,3,8,1,0,0.00257478974851449
233289.683917,8181845.212081,"1.13.57.263",69,14,3,8,1,0,0.00255363255506872
233289.586925,8181835.621361,"1.13.57.264",69,18,3,8,0,0,0.118620956785307
233325.019017,8181841.04194,"1.13.57.265",70,18,3,8,1,0,0.00256759630274293
233323.806639,8181854.638348,"1.13.57.266",70,18,3,8,0,0,0.0821885697737231
233322.534649,8181862.661308,"1.13.57.267",70,18,3,8,1,0,0.00246731120580998
233320.488697,8181876.804922,"1.13.57.268",70,13,3,8,1,0,0.00256294172018486
233345.677964,8181856.354403,"1.13.57.269",70,8,1,8,1,0,0.00259002292779545
233703.205554,8181983.150857,"1.13.57.27",49,18,3,8,0,0,0.0989942837164636
233570.007504,8181952.582203,"1.13.57.270",71,18,3,8,0,0,0.281396300402137
233693.566398,8181984.828035,"1.13.57.28",49,18,3,8,0,0,0.0955731205209771
233681.49986,8181986.126634,"1.13.57.29",49,18,3,8,0,0,0.115679956845327
234013.780581,8182187.428217,"1.13.57.3",47,18,3,8,0,0,0.25456717850069
233667.386836,8181986.390231,"1.13.57.30",49,18,3,8,0,0,0.12912452799952
233660.88611,8181965.699509,"1.13.57.31",49,12,3,8,1,0,0.00280032543064642
233689.88915,8181967.737525,"1.13.57.32",49,18,3,8,0,0,0.138427691074965
233709.246351,8181966.634069,"1.13.57.33",49,12,3,8,1,0,0.00257140459756317
233744.625469,8181960.785309,"1.13.57.34",49,7,1,8,1,0,0.00290103367144829
233631.962199,8181968.425007,"1.13.57.35",50,7,1,8,1,0,0.00250412472240562
233627.004214,8181968.74699,"1.13.57.36",50,12,3,8,1,0,0.00249650813276514
233617.253634,8181968.535398,"1.13.57.37",50,18,3,8,1,0,0.00246223347938299
233611.69745,8181969.419489,"1.13.57.38",50,18,3,8,0,0,0.0902913247104015
233606.921993,8181970.050126,"1.13.57.39",50,18,3,8,0,0,0.0921519573254907
234010.965541,8182176.039668,"1.13.57.4",47,18,3,8,0,0,0.286618075805774
233597.548158,8181971.635899,"1.13.57.40",50,18,3,8,0,0,0.0995944877858472
233588.92357,8181973.165376,"1.13.57.41",50,18,3,8,0,0,0.102175365284197
233578.633248,8181973.211148,"1.13.57.42",50,18,3,8,0,0,0.113639263009423
233569.587757,8181973.305657,"1.13.57.43",50,7,1,8,1,0,0.00259340807874677
233570.535677,8181986.387898,"1.13.57.44",50,18,3,8,0,0,0.120481589400396
233579.631346,8181986.218458,"1.13.57.45",50,18,3,8,0,0,0.1093778141168
233590.171957,8181985.376476,"1.13.57.46",50,18,3,8,0,0,0.102715548946642
233599.988903,8181983.775004,"1.13.57.47",50,18,3,8,0,0,0.102235385691135
233609.660953,8181984.354508,"1.13.57.48",50,18,3,8,0,0,0.10901769167517
233548.500021,8181990.427612,"1.13.57.49",51,18,3,8,0,0,0.209011689634476
234005.212796,8182167.530601,"1.13.57.5",47,18,3,8,0,0,0.312186769161515
233549.251136,8181977.561978,"1.13.57.50",51,18,3,8,0,0,0.204930301962667
233529.003909,8181972.715704,"1.13.57.51",51,13,3,8,1,0,0.00278932369005462
233513.71059,8181967.714162,"1.13.57.52",51,7,1,8,1,0,0.00284856383170278
233491.563118,8181963.033787,"1.13.57.53",52,18,3,8,0,0,0.16861795576496
233482.764675,8181961.377824,"1.13.57.54",52,18,3,8,0,0,0.145330037872877
233474.533294,8181959.224302,"1.13.57.55",52,8,1,8,1,0,0.00267422855770962
233464.191259,8181956.420701,"1.13.57.56",52,7,1,8,1,0,0.00265264822039493
233453.42643,8181954.306615,"1.13.57.57",52,7,1,8,0,0,0.160395160014405
233410.116032,8181941.338284,"1.13.57.58",52,18,3,8,0,0,0.146410405197767
233401.598087,8181938.415347,"1.13.57.59",52,17,3,8,1,0,0.00257690546785907
234000.651649,8182161.527585,"1.13.57.6",47,18,3,8,0,0,0.321609973050837
233392.389634,8181936.277925,"1.13.57.60",52,7,1,8,1,0,0.00254432338995258
233383.380451,8181935.574688,"1.13.57.61",52,24,3,8,1,0,0.00256463429566052
233374.096418,8181932.156531,"1.13.57.62",52,18,3,8,0,0,0.155953649900966
233365.792003,8181948.452579,"1.13.57.63",52,8,1,8,1,0,0.00274700930316308
233376.981128,8181950.635578,"1.13.57.64",52,7,1,8,1,0,0.0026297984514735
233387.189352,8181954.332843,"1.13.57.65",52,7,1,8,1,0,0.00262514386891543
233408.423807,8181959.487233,"1.13.57.66",52,18,3,8,1,0,0.002717389232339
233431.82083,8181963.310021,"1.13.57.67",52,24,3,8,1,0,0.00275420274893464
233340.823879,8181939.615791,"1.13.57.68",53,12,3,8,1,0,0.00328694087989917
233351.049455,8181922.449474,"1.13.57.69",53,8,1,8,1,0,0.00284983326330953
233997.187035,8182152.297239,"1.13.57.7",47,18,3,8,0,0,0.325751381129584
233346.117054,8181920.411958,"1.13.57.70",53,8,1,8,1,0,0.00281936690474761
233339.92224,8181918.502212,"1.13.57.71",53,8,1,8,1,0,0.00282359834343677
233332.177574,8181915.327316,"1.13.57.72",53,12,3,8,1,0,0.00282063633635436
233325.337626,8181910.841156,"1.13.57.73",53,8,1,8,1,0,0.0028764913270512
233317.637334,8181905.145069,"1.13.57.74",53,18,3,8,0,0,0.231819444271052
233295.809202,8181900.956314,"1.13.57.75",53,20,4,8,1,0,0.00268480715443251
233284.775702,8181899.960545,"1.13.57.76",53,12,3,8,0,0,0.132545691195006
233277.698099,8181902.861193,"1.13.57.77",53,20,4,8,1,0,0.00250666358561911
233272.98099,8181900.322201,"1.13.57.78",53,20,4,8,1,0,0.00251258759978393
233266.213425,8181899.32218,"1.13.57.79",53,20,4,8,1,0,0.00249143040633816
233995.685156,8182142.482237,"1.13.57.8",47,18,3,8,0,0,0.347538788848208
233256.876862,8181894.936682,"1.13.57.80",53,18,3,8,0,0,0.127143854570554
233247.134932,8181898.250659,"1.13.57.81",53,12,3,8,1,0,0.0025802906188104
233226.253074,8181892.705784,"1.13.57.82",53,14,3,8,1,0,0.00274827873476982
233217.983935,8181911.898562,"1.13.57.83",53,18,3,8,0,0,0.259308790648821
233238.254364,8181913.661359,"1.13.57.84",53,8,1,8,1,0,0.00271950495168357
233250.15574,8181916.429531,"1.13.57.85",53,12,3,8,0,0,0.163576241582138
233262.755081,8181918.334288,"1.13.57.86",53,18,3,8,1,0,0.0025777517555969
233274.122377,8181921.093115,"1.13.57.87",53,8,1,8,1,0,0.00266788139967589
233287.139751,8181925.735659,"1.13.57.88",53,12,3,8,1,0,0.00282359834343677
233300.866043,8181929.223742,"1.13.57.89",53,8,1,8,1,0,0.003342795870596
233994.756625,8182130.089811,"1.13.57.9",47,18,3,8,0,0,0.354981319308565
233312.494523,8181932.958373,"1.13.57.90",53,8,1,8,1,1,0.00705
233326.816856,8181936.732891,"1.13.57.91",53,8,1,8,1,1,0.00705
233186.228828,8181893.111199,"1.13.57.92",54,13,3,8,0,0,0.132185568753376
233174.605345,8181894.965656,"1.13.57.93",54,8,1,8,1,0,0.00250327843466779
233165.277364,8181895.065204,"1.13.57.94",54,19,3,8,1,0,0.00245250117039794
233153.727173,8181894.935969,"1.13.57.95",54,18,3,8,0,0,0.0971336511013745
233144.497518,8181893.404239,"1.13.57.96",54,18,3,8,0,0,0.107277099873957
233134.364361,8181894.204512,"1.13.57.97",54,18,3,8,0,0,0.120181487365704
233114.446186,8181894.596697,"1.13.57.98",54,18,3,8,0,0,0.105116365224176
233103.576197,8181894.480226,"1.13.57.99",54,8,1,8,1,0,0.00248254438509093
234125.388863,8181703.32217,"1.13.5.8",1102,22,1,7,1,0,0.0027999022867775
232794.824855,8182106.863821,"1.13.58.1",954,3,4,8,1,0,0.0035594455314807
232880.714943,8182174.69356,"1.13.58.10",955,4,4,8,0,0,0.490447377768441
232874.940403,8182235.740046,"1.13.58.11",955,3,4,8,1,0,0.00450221007142428
232870.262501,8182258.105813,"1.13.58.12",955,4,4,8,0,0,0.564512559930376
232898.610851,8182247.932894,"1.13.58.13",955,3,4,8,1,1,0.00705
232926.973633,8182215.897777,"1.13.58.14",955,3,4,8,1,0,0.00438457607586579
232985.532195,8182202.926627,"1.13.58.15",955,8,4,8,1,0,0.00401051689574455
232957.673511,8182242.968651,"1.13.58.16",955,3,4,8,1,0,0.00636150423143869
232948.827069,8182251.498759,"1.13.58.17",955,3,4,8,1,1,0.00705
232940.763776,8182254.452179,"1.13.58.18",955,3,4,8,1,1,0.00705
232932.456787,8182259.324291,"1.13.58.19",955,4,4,8,1,1,0.00705
232874.132215,8182123.796543,"1.13.58.2",955,3,4,8,1,0,0.00529052709921373
232917.737254,8182266.806913,"1.13.58.20",955,4,4,8,1,0,0.00537050129043875
232906.072619,8182273.414404,"1.13.58.21",955,3,4,8,1,0,0.0050429879358982
232898.045738,8182279.971238,"1.13.58.22",955,4,4,8,0,0,0.633896150351119
232877.476191,8182283.71449,"1.13.58.23",955,4,4,8,0,0,0.658324455975032
232883.975522,8182294.051135,"1.13.58.24",955,3,4,8,1,1,0.00705
232889.694229,8182299.560529,"1.13.58.25",955,3,4,8,1,1,0.00705
232893.651504,8182303.30308,"1.13.58.26",955,3,4,8,1,0,0.00506879971190205
232892.196195,8182310.782777,"1.13.58.27",955,3,4,8,1,1,0.00705
232896.735013,8182315.90537,"1.13.58.28",955,4,4,8,1,0,0.00445016337554769
232900.563725,8182324.143734,"1.13.58.29",955,4,4,8,1,0,0.00408837536762499
232866.398622,8182128.555126,"1.13.58.3",955,4,4,8,1,0,0.00558207322489646
232910.191772,8182316.141295,"1.13.58.30",955,4,4,8,1,0,0.0040748347638197
232918.020248,8182309.026008,"1.13.58.31",955,4,4,8,0,0,0.483124888121961
232922.294915,8182304.523156,"1.13.58.32",955,4,4,8,1,0,0.00420516307544565
232928.352374,8182299.344706,"1.13.58.33",955,4,4,8,0,0,0.531441315707341
232939.864343,8182292.358413,"1.13.58.34",955,18,4,8,1,0,0.00509038004921673
232946.763769,8182283.290167,"1.13.58.35",955,4,4,8,1,1,0.00705
232958.547892,8182276.306715,"1.13.58.36",955,4,4,8,1,1,0.00705
232965.197131,8182270.582122,"1.13.58.37",955,3,4,8,1,1,0.00705
232970.299476,8182265.594249,"1.13.58.38",955,3,4,8,1,1,0.00705
233065.334532,8182229.657485,"1.13.58.39",956,8,4,8,1,0,0.00361910881699778
232858.454495,8182131.947027,"1.13.58.4",955,3,4,8,1,1,0.00705
233009.673649,8182276.307359,"1.13.58.40",956,8,4,8,1,1,0.00705
232961.714288,8182301.570725,"1.13.58.41",956,3,4,8,1,1,0.00705
232966.403102,8182309.501882,"1.13.58.42",956,4,4,8,0,0,0.719305189424404
232970.131367,8182315.693085,"1.13.58.43",956,4,4,8,1,1,0.00705
232975.825792,8182323.336883,"1.13.58.44",956,3,4,8,1,0,0.00501336786507412
232849.931969,8182136.042044,"1.13.58.5",955,4,4,8,1,1,0.00705
232843.091072,8182141.822932,"1.13.58.6",955,3,4,8,1,1,0.00705
232836.620857,8182145.959711,"1.13.58.7",955,3,4,8,1,0,0.00563538935237981
232827.345664,8182152.427575,"1.13.58.8",955,3,4,8,1,0,0.00511449924974491
232810.300304,8182161.98104,"1.13.58.9",955,4,4,8,0,0,0.500950948982654
234118.649316,8181700.333346,"1.13.5.9",1102,18,1,7,1,0,0.00278932369005462
232914.357585,8182339.39223,"1.13.59.1",947,7,1,8,0,0,0.224977117880079
232943.537445,8182395.565656,"1.13.59.10",947,7,1,8,1,0,0.00285829614068783
232981.140858,8182408.336645,"1.13.59.100",953,12,3,8,0,0,0.096893569473621
232977.819257,8182401.099986,"1.13.59.101",953,12,3,8,1,0,0.00255067054798632
232966.415715,8182406.024693,"1.13.59.102",953,13,3,8,0,0,0.112919018126163
232956.539535,8182412.689051,"1.13.59.103",953,14,3,8,1,0,0.00249439241342056
232959.740551,8182422.774245,"1.13.59.104",953,14,3,8,1,0,0.00247535093931937
232963.825056,8182429.065894,"1.13.59.105",953,13,3,8,0,0,0.0874103451773603
232967.707309,8182434.761939,"1.13.59.106",953,12,3,8,1,0,0.00246773434967889
232973.063838,8182442.001248,"1.13.59.107",953,13,3,8,0,0,0.102475467318888
232979.730308,8182447.942758,"1.13.59.108",953,13,3,8,0,0,0.114299487485745
232982.496211,8182454.9187,"1.13.59.109",953,13,3,8,0,0,0.134406323810095
232954.157146,8182388.378876,"1.13.59.11",947,7,1,8,1,0,0.00270257919692695
232966.659805,8182381.140048,"1.13.59.12",947,7,1,8,1,0,0.00267972942800552
232962.70834,8182370.314226,"1.13.59.13",947,7,1,8,1,0,0.00265857223455975
232957.623521,8182362.791379,"1.13.59.14",947,7,1,8,1,0,0.0026408001920653
232953.07992,8182356.069064,"1.13.59.15",947,7,1,8,1,0,0.0027038486285337
232953.739331,8182338.454696,"1.13.59.16",947,7,1,8,0,0,0.222816383230298
232950.308611,8182329.34707,"1.13.59.17",947,7,1,8,1,0,0.00286929788127964
232945.569822,8182323.919479,"1.13.59.18",947,7,1,8,1,0,0.00285025640717844
232938.673536,8182319.347642,"1.13.59.19",947,7,1,8,1,0,0.00291668999459816
232920.586509,8182347.638338,"1.13.59.2",947,7,1,8,1,0,0.0027338918432267
232927.697478,8182332.716056,"1.13.59.20",947,6,4,8,1,0,0.00278128395654523
232975.57619,8182354.715191,"1.13.59.21",948,13,3,8,1,1,0.00705
232985.565156,8182371.278386,"1.13.59.22",948,7,1,8,1,0,0.00333221727387312
232992.52172,8182365.358594,"1.13.59.23",948,8,1,8,1,0,0.00347270103835304
232999.401812,8182361.941203,"1.13.59.24",948,7,1,8,0,0,0.377609012724326
233007.438386,8182359.485433,"1.13.59.25",948,7,1,8,1,0,0.00371473933137267
233016.209363,8182357.392677,"1.13.59.26",948,7,1,8,1,1,0.00705
233008.068943,8182345.224586,"1.13.59.27",948,7,1,8,1,0,0.00371854762619291
233000.600777,8182332.737166,"1.13.59.28",948,7,1,8,1,0,0.00361783938539103
232993.181748,8182338.077872,"1.13.59.29",948,8,1,8,1,0,0.00375663057439529
232922.942871,8182354.625131,"1.13.59.3",947,7,1,8,0,0,0.164476547686213
232986.143773,8182340.84614,"1.13.59.30",948,8,1,8,1,1,0.00705
232979.152649,8182346.077541,"1.13.59.31",948,14,3,8,1,0,0.00399951515515275
233014.428996,8182315.792688,"1.13.59.32",949,8,1,8,1,0,0.00338468711361863
233018.265229,8182326.156963,"1.13.59.33",949,8,1,8,1,0,0.00337918624332273
233022.949641,8182334.085049,"1.13.59.34",949,12,3,8,1,0,0.00362376339955585
233030.195723,8182347.834544,"1.13.59.35",949,8,1,8,1,1,0.00705
233040.46627,8182345.195619,"1.13.59.36",949,8,1,8,1,0,0.00467146761899046
233046.26865,8182340.583854,"1.13.59.37",949,13,3,8,1,1,0.00705
233050.915303,8182338.360299,"1.13.59.38",949,8,1,8,0,0,0.598063967408919
233057.233477,8182333.496119,"1.13.59.39",949,14,3,8,1,0,0.00476540555788968
232925.023232,8182360.020105,"1.13.59.4",947,7,1,8,1,0,0.00262006614248845
233065.493424,8182329.351153,"1.13.59.40",949,8,1,8,1,1,0.00705
233073.300141,8182323.83964,"1.13.59.41",949,8,1,8,1,1,0.00705
233083.627021,8182317.986813,"1.13.59.42",949,12,3,8,1,0,0.00400882432026889
233091.224793,8182312.113017,"1.13.59.43",949,8,1,8,1,0,0.00372997251065362
233098.150758,8182303.722445,"1.13.59.44",949,8,1,8,1,0,0.00378921265230178
233106.914573,8182299.78389,"1.13.59.45",949,8,1,8,1,1,0.00705
233118.570726,8182295.413955,"1.13.59.46",949,12,3,8,1,0,0.00383533533401356
233107.86123,8182279.088544,"1.13.59.47",949,8,1,8,0,0,0.419023093511794
233102.055422,8182271.408605,"1.13.59.48",949,12,3,8,1,0,0.00368850441149991
233098.15346,8182264.658717,"1.13.59.49",949,8,1,8,0,0,0.364764645639517
232927.454446,8182365.072969,"1.13.59.5",947,14,3,8,1,0,0.00260694868255207
233093.139026,8182254.186488,"1.13.59.50",949,8,1,8,0,0,0.370466584298662
233083.247409,8182263.329293,"1.13.59.51",949,8,1,8,1,0,0.00351332284976892
233076.286417,8182269.213188,"1.13.59.52",949,8,1,8,0,0,0.372207176099874
233070.482059,8182276.135797,"1.13.59.53",949,6,4,8,1,0,0.00366438521097173
233061.583024,8182280.188646,"1.13.59.54",949,6,4,8,1,1,0.00705
233051.674958,8182286.085206,"1.13.59.55",949,13,3,8,0,0,0.391893869575656
233044.920446,8182291.478604,"1.13.59.56",949,8,1,8,1,0,0.00341515347218054
233042.469731,8182297.088747,"1.13.59.57",949,8,1,8,1,0,0.00334618102154733
233034.119285,8182303.360474,"1.13.59.58",949,8,1,8,1,0,0.00336606878338635
233029.136608,8182307.313934,"1.13.59.59",949,13,3,8,0,0,0.337755462517256
232931.524629,8182371.477563,"1.13.59.6",947,7,1,8,0,0,0.167777670067823
233123.29825,8182248.803576,"1.13.59.60",950,13,3,8,0,0,0.548787213312526
233111.862073,8182235.888384,"1.13.59.61",950,13,3,8,0,0,0.524478948502491
233120.085701,8182272.220242,"1.13.59.62",950,6,4,8,1,1,0.00705
233132.093325,8182281.717392,"1.13.59.63",950,13,3,8,0,0,0.48060403103055
233144.124463,8182295.701922,"1.13.59.64",950,13,3,8,0,0,0.33505454420503
233147.376403,8182304.685702,"1.13.59.65",950,13,3,8,1,0,0.00330852121721385
233152.543459,8182314.701991,"1.13.59.66",950,6,4,8,1,0,0.0031561894244043
233160.984036,8182326.227015,"1.13.59.67",950,12,3,8,1,0,0.00306944493127663
233146.631889,8182343.806326,"1.13.59.68",951,13,3,8,0,0,0.463378174239241
233138.011075,8182335.486371,"1.13.59.69",951,13,3,8,0,0,0.44915333779485
232933.692687,8182376.438941,"1.13.59.7",947,8,1,8,1,0,0.00266364996098674
233132.071988,8182319.63611,"1.13.59.70",951,13,3,8,1,0,0.00393054270451954
233123.702565,8182323.729431,"1.13.59.71",951,13,3,8,1,1,0.00705
233115.436868,8182329.944529,"1.13.59.72",951,13,3,8,1,0,0.00381333185282996
233102.618346,8182334.716631,"1.13.59.73",951,13,3,8,1,0,0.00358906560230478
233095.964148,8182336.689431,"1.13.59.74",951,13,3,8,1,0,0.0035539446611848
233090.745701,8182341.040462,"1.13.59.75",951,13,3,8,0,0,0.401857257127423
233085.016615,8182344.109506,"1.13.59.76",951,14,3,8,1,0,0.00376636288338035
233079.684772,8182346.578848,"1.13.59.77",951,13,3,8,1,0,0.00390811607946702
233075.705746,8182351.351027,"1.13.59.78",951,13,3,8,1,1,0.00705
233068.863573,8182354.694189,"1.13.59.79",951,13,3,8,0,0,0.517276499669888
232936.83125,8182380.185786,"1.13.59.8",947,8,1,8,1,0,0.00273812328191585
233061.27349,8182358.963743,"1.13.59.80",951,14,3,8,1,1,0.00705
233049.420682,8182372.675805,"1.13.59.81",951,12,3,8,1,0,0.00358652673909129
233057.668068,8182391.223404,"1.13.59.82",951,14,3,8,1,0,0.00322389244343077
233066.497401,8182387.459916,"1.13.59.83",951,13,3,8,0,0,0.292860198127363
233075.919451,8182386.414057,"1.13.59.84",951,13,3,8,1,0,0.00313757109417202
233079.761814,8182383.534303,"1.13.59.85",951,12,3,8,1,0,0.0031946955164756
233085.01333,8182378.706106,"1.13.59.86",951,12,3,8,1,0,0.00326832254966689
233093.347284,8182373.491643,"1.13.59.87",951,13,3,8,0,0,0.395915236840526
233101.458705,8182367.993382,"1.13.59.88",951,12,3,8,1,1,0.00705
233110.426752,8182362.25131,"1.13.59.89",951,12,3,8,1,0,0.00381206242122322
232937.509443,8182386.62949,"1.13.59.9",947,7,1,8,1,1,0.00705
233119.003868,8182357.003681,"1.13.59.90",951,12,3,8,1,0,0.00389796062661305
233126.086863,8182351.026939,"1.13.59.91",951,13,3,8,1,1,0.00705
233038.843717,8182397.739975,"1.13.59.92",952,13,3,8,0,0,0.341236646119681
233048.215426,8182411.527441,"1.13.59.93",952,13,3,8,0,0,0.325211197467139
233040.17874,8182415.614251,"1.13.59.94",952,13,3,8,0,0,0.31896907514555
233024.392646,8182425.195063,"1.13.59.95",952,13,3,8,0,0,0.308885646779905
233003.371406,8182438.539298,"1.13.59.96",953,6,4,8,1,0,0.00265476393973951
232995.94047,8182429.124347,"1.13.59.97",953,13,3,8,0,0,0.103375773422964
232992.389402,8182421.300795,"1.13.59.98",953,13,3,8,0,0,0.103315753016025
232988.445331,8182414.880483,"1.13.59.99",953,12,3,8,1,0,0.00248677582378009
233240.866766,8182296.359023,"1.13.60.1",928,7,1,8,1,0,0.00505356653262109
233210.138655,8182313.959064,"1.13.60.10",928,8,1,8,1,1,0.00705
233387.916541,8182444.703704,"1.13.60.100",935,6,4,8,0,0,0.759758943700858
233381.04798,8182437.815722,"1.13.60.101",935,17,3,8,1,0,0.0061478165776364
233376.732698,8182428.059448,"1.13.60.102",935,17,3,8,1,1,0.00705
233371.403432,8182420.164191,"1.13.60.103",935,17,3,8,1,1,0.00705
233365.521518,8182410.565563,"1.13.60.104",935,6,4,8,0,0,0.721225842446432
233360.793352,8182402.627461,"1.13.60.105",935,18,3,8,1,0,0.00570901638557109
233355.021606,8182389.238847,"1.13.60.106",935,17,3,8,1,1,0.00705
233347.061411,8182393.193098,"1.13.60.107",935,17,3,8,1,0,0.00560957757637597
233340.344801,8182396.883444,"1.13.60.108",935,18,3,8,0,0,0.696737516415581
233331.759061,8182401.018944,"1.13.60.109",935,18,3,8,1,1,0.00705
233217.384756,8182309.145835,"1.13.60.11",928,7,1,8,1,1,0.00705
233334.839882,8182408.132831,"1.13.60.110",935,17,3,8,1,0,0.00557064834043575
233340.843554,8182413.777907,"1.13.60.111",935,6,4,8,0,0,0.671348884280655
233347.756122,8182421.718032,"1.13.60.112",935,19,3,8,1,0,0.00546570866094472
233354.31887,8182429.850229,"1.13.60.113",935,19,3,8,0,0,0.703459801992678
233360.568642,8182438.620485,"1.13.60.114",935,24,3,8,0,0,0.725787393373747
233364.781747,8182447.312287,"1.13.60.115",935,6,4,8,1,0,0.00590070055818978
233369.994029,8182455.569706,"1.13.60.116",935,6,4,8,0,0,0.75201631120581
233373.707621,8182470.561755,"1.13.60.117",935,6,4,8,0,0,0.780586024908469
233380.979742,8182466.679027,"1.13.60.118",935,17,3,8,1,1,0.00705
233389.517167,8182464.217403,"1.13.60.119",935,19,3,8,1,1,0.00705
233224.44725,8182302.887853,"1.13.60.12",928,7,1,8,1,0,0.00560323041834224
233300.737771,8182387.127688,"1.13.60.120",937,17,3,8,1,1,0.00705
233290.743579,8182377.538144,"1.13.60.121",937,17,3,8,1,1,0.00705
233286.058804,8182370.494607,"1.13.60.122",937,17,3,8,1,1,0.00705
233280.701439,8182363.044794,"1.13.60.123",937,17,3,8,1,1,0.00705
233274.679015,8182352.718032,"1.13.60.124",937,17,3,8,1,1,0.00705
233268.526337,8182345.38468,"1.13.60.125",937,17,3,8,1,0,0.00532776375967829
233264.901858,8182336.82781,"1.13.60.126",937,17,3,8,1,1,0.00705
233260.33626,8182328.143806,"1.13.60.127",937,18,3,8,0,0,0.672069129163916
233259.446919,8182317.769084,"1.13.60.128",937,18,3,8,0,0,0.622732354660585
233242.319115,8182324.711749,"1.13.60.129",937,19,3,8,1,1,0.00705
233273.893935,8182305.184785,"1.13.60.13",929,27,3,8,1,0,0.00296958297821259
233235.248319,8182329.776434,"1.13.60.130",937,18,3,8,0,0,0.700338740831883
233231.205893,8182333.266083,"1.13.60.131",937,18,3,8,0,0,0.688994883920533
233222.882218,8182336.387899,"1.13.60.132",937,6,4,8,0,0,0.650221701038353
233235.635161,8182342.661662,"1.13.60.133",937,6,4,8,0,0,0.680532006542224
233240.835129,8182351.195144,"1.13.60.134",937,18,3,8,1,1,0.00705
233247.28728,8182359.654825,"1.13.60.135",937,17,3,8,1,0,0.00458133797491147
233252.489875,8182366.58225,"1.13.60.136",937,17,3,8,1,0,0.00450474893463778
233255.637701,8182376.214125,"1.13.60.137",937,19,3,8,1,0,0.00443746905948022
233261.214613,8182384.185004,"1.13.60.138",937,6,4,8,0,0,0.567513580277294
233264.983012,8182406.135486,"1.13.60.139",937,24,3,8,1,0,0.00478910161454895
233287.490548,8182316.72217,"1.13.60.14",929,8,1,8,1,0,0.00296492839565452
233273.157194,8182403.630143,"1.13.60.140",937,19,3,8,1,1,0.00705
233278.730327,8182399.031751,"1.13.60.141",937,6,4,8,0,0,0.711442516115479
233286.117593,8182396.407006,"1.13.60.142",937,6,4,8,0,0,0.735870821739391
233292.812684,8182391.81412,"1.13.60.143",937,6,4,8,0,0,0.768341861893044
233249.371798,8182419.887139,"1.13.60.144",938,19,3,8,1,0,0.00259510065422244
233243.974117,8182410.350792,"1.13.60.145",938,18,3,8,1,0,0.00252739763519597
233239.282384,8182403.31568,"1.13.60.146",938,18,3,8,1,0,0.00254009195126343
233234.16569,8182395.373486,"1.13.60.147",938,31,3,8,1,0,0.00254728539703499
233230.943063,8182386.084117,"1.13.60.148",938,18,3,8,1,0,0.0026132958405858
233225.191367,8182376.886209,"1.13.60.149",938,19,3,8,0,0,0.164536568093152
233291.09913,8182328.168404,"1.13.60.15",929,7,1,8,1,0,0.00308129295960627
233219.573513,8182368.587043,"1.13.60.150",938,6,4,8,0,0,0.171078792449433
233211.421046,8182359.923633,"1.13.60.151",938,27,3,8,1,0,0.00275124074185223
233202.970159,8182349.195414,"1.13.60.152",938,6,4,8,0,0,0.235240607466539
233187.328569,8182356.795986,"1.13.60.153",938,6,4,8,0,0,0.205350444811236
233191.972009,8182366.794828,"1.13.60.154",938,27,4,8,1,0,0.00271908180781466
233201.993532,8182379.002953,"1.13.60.155",938,6,4,8,1,0,0.00259340807874677
233206.043633,8182388.684932,"1.13.60.156",938,1,4,8,1,0,0.00254813168477282
